"id","type","boatClass","make","model","year","condition","length_ft","beam_ft","dryWeight_lb","hullMaterial","fuelType","numEngines","totalHP","maxEngineYear","minEngineYear","engineCategory","price","sellerId","city","state","zip","created_date","created_month","created_year"
6960655,"power","power-center","Tahoe","2150 CC",2019,"new",21.08,8.5,2600,"fiberglass","gasoline",1,150,NA,NA,"outboard",37490,1078,"Springfield","MO","65807","2019-01-18",1,2019
3711404,"power","power-expresscruiser","Formula","PC34",2004,"used",34,11.5,NA,"fiberglass","gasoline",2,0,2004,2004,"inboard-outboard",89995,35276,"Mannford","OK","74044","2011-09-14",9,2011
7259459,"power","power-unspec","Yamaha Boats","SX195",2018,"used",20,NA,NA,"other","other",1,0,NA,NA,NA,31900,29402,"Kimberling City","MO",NA,"2019-10-22",10,2019
7243372,"power","power-pontoon","Bennington","25 G Stern Radius",2019,"new",25,NA,NA,"other","other",1,0,NA,NA,"",32799,34482,"Mecosta","MI",NA,"2019-10-07",10,2019
6961979,"power","power-bass","Triton","189 TRX",2019,"new",18.67,7.83,1690,"fiberglass","gasoline",1,150,NA,NA,"outboard",34502,1065,"Anaheim","CA","92806","2019-01-18",1,2019
6751590,"power","power-jon","Tracker","Grizzly 1860 CC Sportsman",2018,"new",19.5,7,1440,"aluminum","",1,60,NA,NA,"outboard",21735,155579,"East Hartford","CT","06118","2018-06-20",6,2018
7170856,"power","power-cruiser","Blackfin","272DC Dual Console",2019,"new",27,NA,NA,"other","other",1,0,NA,NA,NA,269999,46516,"Wayzata","MN",NA,"2019-08-05",8,2019
6881975,"power","power-expresscruiser","Sea Ray","390 Sundancer",2010,"used",39,12.5,NA,"fiberglass","gasoline",2,760,NA,NA,"inboard",209900,61417,"Orange Beach","AL","36561","2018-10-19",10,2018
7127551,"power","power-other","Falcon Boats","F205",2018,"used",20,NA,NA,"fiberglass","other",1,0,NA,NA,"",56999,37214,"Lake City","FL","32055","2019-06-25",6,2019
7022447,"power","power-bass","Skeeter","FX20LE",2019,"new",20,NA,NA,"fiberglass","other",1,0,NA,NA,"",67995,12440,"Southside","AL",NA,"2019-03-19",3,2019
7239510,"power","power-fresh","Ranger","2310 Bay Ranger",2014,"used",23,NA,NA,"other","other",1,0,NA,NA,"",53900,227731,"Clermont","FL",NA,"2019-10-03",10,2019
7166425,"power","power-cruiser","Sea Ray","240 Sundeck",2011,"used",24,NA,NA,"other","other",1,0,NA,NA,"",49999,10610,"Rochester","MN",NA,"2019-07-31",7,2019
7043720,"power","power-aluminum","Smoker Craft","Pro Angler 172 XL",2019,"new",17.25,NA,1305,"aluminum","other",1,0,NA,NA,"",32000,34821,"Madera","CA",NA,"2019-04-09",4,2019
6320404,"power","power-expresscruiser","Beneteau America","Gran Turismo 38",2014,"used",38,12.17,16199,"fiberglass","diesel",2,600,NA,NA,"inboard",319000,31329,"Miami","FL",NA,"2017-08-02",8,2017
7238247,"power","power-center","Parker","21 Special Edition",2018,"used",21,86,NA,"fiberglass","gasoline",1,0,NA,NA,"",53900,34698,"Hingham","MA",NA,"2019-10-03",10,2019
